name,urls,exodus_link
ABTasty,abtasty.com,https://reports.exodus-privacy.eu.org/en/trackers/324/
ACRCloud,"acrcloud.com, hb-minify-juc1ugur1qwqqqo4.stackpathdns.com",https://reports.exodus-privacy.eu.org/en/trackers/325/
ADLIB,adlibr.com,https://reports.exodus-privacy.eu.org/en/trackers/177/
ATInternet,ati-host.net,https://reports.exodus-privacy.eu.org/en/trackers/31/
AccountKit,graph.accountkit.com,https://reports.exodus-privacy.eu.org/en/trackers/91/
Actv8me,actv8technologies.com,https://reports.exodus-privacy.eu.org/en/trackers/327/
Acuant,"frm.acuant.net, medicscan.acuant.net, services.assureid.net",https://reports.exodus-privacy.eu.org/en/trackers/386/
Ad4Screen,"a4.tl, accengage.com, ad4push.com, ad4screen.com",https://reports.exodus-privacy.eu.org/en/trackers/4/
AdAdapted,ads.adadapted.com,https://reports.exodus-privacy.eu.org/en/trackers/272/
AdBuddiz,sdk.adbuddiz.com,https://reports.exodus-privacy.eu.org/en/trackers/216/
AdColony,"adc3-launch.adcolony.com, adcolony.com, ads30.adcolony.com, androidads20.adcolony.com, androidads21.adcolony.com, androidads23.adcolony.com, events3alt.adcolony.com, wd.adcolony.com",https://reports.exodus-privacy.eu.org/en/trackers/90/
AdFit (Daum),"analytics.ad.daum.net, statistics.videofarm.daum.net",https://reports.exodus-privacy.eu.org/en/trackers/156/
Adbrix,ad-brix.com,https://reports.exodus-privacy.eu.org/en/trackers/256/
Add Apt Tr,aatkit.com,https://reports.exodus-privacy.eu.org/en/trackers/36/
Adform,"adform.com, adformdsp.net, adx.adform.net, files.adform.net, track.adform.net",https://reports.exodus-privacy.eu.org/en/trackers/157/
Adfurikun,"adfurikun.jp, ginf.adfurikun.jp",https://reports.exodus-privacy.eu.org/en/trackers/158/
Adincube,sdk.adincube.com,https://reports.exodus-privacy.eu.org/en/trackers/165/
Adjust,"adj.st, adjust.com, go.link",https://reports.exodus-privacy.eu.org/en/trackers/52/
Admixer,"admixer.co.kr, admixer.net",https://reports.exodus-privacy.eu.org/en/trackers/275/
Admost,"cdn-api.admost.com, go.admost.com, med-api.admost.com",https://reports.exodus-privacy.eu.org/en/trackers/276/
Adot,"sdk.adotmob.com, sync.adotmob.com, tracker.adotmob.com",https://reports.exodus-privacy.eu.org/en/trackers/161/
AdsWizz,"adswizz.com, cdn.adswizz.com.edgesuite.net",https://reports.exodus-privacy.eu.org/en/trackers/41/
AerServ,"ads.aerserv.com, debug.aerserv.com",https://reports.exodus-privacy.eu.org/en/trackers/196/
Airpush,"api.airpush.com, apidm.airpush.com, apistaging.airpush.com, apportal.airpush.com, appwall.api.airpush.com, beta.airpush.com, cdnap.airpush.com, m.airpush.com",https://reports.exodus-privacy.eu.org/en/trackers/337/
Alooma,inputs.alooma.com,https://reports.exodus-privacy.eu.org/en/trackers/400/
Alphonso,"prov.alphonso.tv, api.alphonso.tv",https://reports.exodus-privacy.eu.org/en/trackers/82/
AltBeacon,data.altbeacon.org,https://reports.exodus-privacy.eu.org/en/trackers/219/
Altamob,api.altamob.com,https://reports.exodus-privacy.eu.org/en/trackers/269/
Amazon Analytics (Amazon insights),mobileanalytics.us-east-1.amazonaws.com,https://reports.exodus-privacy.eu.org/en/trackers/95/
Amobee,amobee.com,https://reports.exodus-privacy.eu.org/en/trackers/278/
Amplitude,"amplitude.com, api.amplitude.com",https://reports.exodus-privacy.eu.org/en/trackers/125/
AppLovin (MAX and SparkLabs),applovin.com,https://reports.exodus-privacy.eu.org/en/trackers/72/
AppMetrica,"analytics.mobile.yandex.net, appmetrica.yandex.com, banners-slb.mobile.yandex.net, banners.mobile.yandex.net, mc.yandex.ru, report.appmetrica.yandex.net, startup.mobile.yandex.net",https://reports.exodus-privacy.eu.org/en/trackers/140/
AppNexus,"247realmedia.com, adnxs.com, appnexus.com, appnexus.net",https://reports.exodus-privacy.eu.org/en/trackers/15/
Appcelerator Analytics,"appcelerator.com, appcelerator.net",https://reports.exodus-privacy.eu.org/en/trackers/255/
Appdynamics,"eum-appdynamics.com, appdynamics.com",https://reports.exodus-privacy.eu.org/en/trackers/194/
Appnext,appnext.com,https://reports.exodus-privacy.eu.org/en/trackers/184/
Appodeal,"appodeal.com, appodealx.com",https://reports.exodus-privacy.eu.org/en/trackers/162/
AppsFlyer,appsflyer.com,https://reports.exodus-privacy.eu.org/en/trackers/12/
Apptimize,"brahe.apptimize.com, md-a-c.apptimize.com, md-a-s.apptimize.com",https://reports.exodus-privacy.eu.org/en/trackers/135/
Apsalar,"e-ssl.apsalar.com, e.apsalar.com",https://reports.exodus-privacy.eu.org/en/trackers/260/
Apteligent by VMWare (formerly Crittercism),"api.crittercism.com, appload.ingest.crittercism.com, txn.ingest.crittercism.com",https://reports.exodus-privacy.eu.org/en/trackers/155/
Areametrics,areametrics.com,https://reports.exodus-privacy.eu.org/en/trackers/55/
Audience Studio (Krux),krxd.net,https://reports.exodus-privacy.eu.org/en/trackers/3/
Auditude,auditude.com,https://reports.exodus-privacy.eu.org/en/trackers/203/
AutoNavi / Amap,"grid.amap.com, tm.amap.com, abroad.apilocate.amap.com, apilocate.amap.com, restapi.amap.com, yuntuapi.amap.com, m5.amap.com, wb.amap.com, wb.amap.com, wb.amap.com, wb.amap.com, apiinit.amap.com, restapi.amap.com, logs.amap.com, cgicol.amap.com, lbs.amap.com, wap.amap.com",https://reports.exodus-privacy.eu.org/en/trackers/361/
Axonix,"ads.mobclix.com, axonix.com, data.mobclix.com, mobclix.com, s.mobclix.com",https://reports.exodus-privacy.eu.org/en/trackers/226/
Backelite,backelite.com,https://reports.exodus-privacy.eu.org/en/trackers/54/
Backtrace,backtrace.io,https://reports.exodus-privacy.eu.org/en/trackers/445/
Baidu Maps,map.baidu.com,https://reports.exodus-privacy.eu.org/en/trackers/75/
Batch,batch.com,https://reports.exodus-privacy.eu.org/en/trackers/23/
BlueKai (acquired by Oracle),"stags.bluekai.com, tags.bluekai.com",https://reports.exodus-privacy.eu.org/en/trackers/153/
Branch,api.branch.io,https://reports.exodus-privacy.eu.org/en/trackers/167/
Braze (formerly Appboy),appboy.com,https://reports.exodus-privacy.eu.org/en/trackers/17/
Brightcove,metrics.brightcove.com,https://reports.exodus-privacy.eu.org/en/trackers/178/
Bugly,bugly.qq.com,https://reports.exodus-privacy.eu.org/en/trackers/190/
Carnival,xxx.com,https://reports.exodus-privacy.eu.org/en/trackers/111/
Cauly,ad.cauly.co.kr,https://reports.exodus-privacy.eu.org/en/trackers/257/
Cedexis Radar,"cedexis-radar.net, cedexis.com, radar.cedexis.com",https://reports.exodus-privacy.eu.org/en/trackers/404/
Cheetah Ads,cmcm.com,https://reports.exodus-privacy.eu.org/en/trackers/168/
CleverTap,wzrkt.com,https://reports.exodus-privacy.eu.org/en/trackers/174/
Cloudmobi,"api.cloudmobi.net, cloudmobi.net, logger.cloudmobi.net, vast.cloudmobi.net",https://reports.exodus-privacy.eu.org/en/trackers/176/
Colocator,colocator.net,https://reports.exodus-privacy.eu.org/en/trackers/64/
ComScore,comscore.com,https://reports.exodus-privacy.eu.org/en/trackers/56/
Conversant,conversantmedia.com,https://reports.exodus-privacy.eu.org/en/trackers/282/
Conviva,cws.conviva.com,https://reports.exodus-privacy.eu.org/en/trackers/202/
Criteo,criteo.com,https://reports.exodus-privacy.eu.org/en/trackers/170/
CrowdTangle,api.crowdtangle.com,https://reports.exodus-privacy.eu.org/en/trackers/46/
Cuebiq,cuebiq.com,https://reports.exodus-privacy.eu.org/en/trackers/57/
